"i","assortativity","sigmasize","error","lowerCI","upperCI"
"F","0.0886638176101941","0.0309966018744005","0.00389732855720574","0.0847664890529883","0.0925611461673998"
"M","0.134016502485781","0.0252016609178526","0.00285660137655226","0.131159901109229","0.136873103862333"
"NBA","-0.07141264687288","0.0636480410617247","0.0145019115888265","-0.0859145584617065","-0.0569107352840535"
"S","0.178338499570931","0.0125125290374809","0.00106028905581085","0.17727821051512","0.179398788626742"
"By_size","0.230195001532026","0.00694103922237285","0.000400998647719216","0.229794002884307","0.230596000179745"
"By_sex","0.12008459139225","0.00478511970740144","0.000276446576711114","0.119808144815539","0.120361037968961"
