"i","assortativity","sigmasize","error","lowerCI","upperCI"
"F","0.0732583614162923","0.0656232188363643","0.00825107364423541","0.0650072877720569","0.0815094350605277"
"M","0.174221385977198","0.0584345468520958","0.00662353991350058","0.167597846063698","0.180844925890699"
"NBA","-0.0719885584574778","0.354934654024497","0.0808702182598563","-0.152858776717334","0.00888165980237841"
"S","0.220524242523287","0.027564618296788","0.00233577584676454","0.218188466676523","0.222860018370052"
"By_size","0.294879017010569","0.0153256780624391","0.000885397125924499","0.293993619884644","0.295764414136493"
"By_sex","0.152342829619377","0.0111228121685595","0.000642588594522078","0.151700241024854","0.152985418213899"
