MUSYM,Index,Year,Sheet_ID,Date,Date_survey_started,Survey,No,Time,Y,X,SVL_mm,Color,Nuptial_Pads,gravid,Sex,Adjusted_sex,Mass,COMMENTS,LOCAL_NAME,FORM_NAME,ALLIAN_SCI,ALLIAN_ENG,ASSOC_SCI,AREASYMBOL,MUKEY,Soil_description,Top_layer,Middle_layer,Parent_material,Drainage,Hydric_soil_group,Hydric_soil,lineOrig,Dist_to_breeding_pool,Dist_to_wetland,Dist_to_meadow
11C,818,2016,SCTR-23-MAY-2016-01,23-May-16,23-May-16,6,13,33,4120093,365111,35,GY,N,N,SNBA,S,-,,Cultural Meadow,Medium-tall sod temperate or subpolar grassland,Dactylis glomerata - Rumex acetosella Herbaceous Alliance,Orchard Grass - Common Sheep Sorrel Herbaceous Alliance,Dactylis glomerata - Phleum pratense - Festuca spp. - Solidago spp. Herbaceous Vegetation,VA695,120798,"Craven-Uchee complex, 6 to 10 percent slopes",fine sandy loam,clay,marine deposits,moderately well drained,D,No,0,216.135625,93.38356859,0
11C,538,2016,SCTR-27-APR-2016-03,28-Apr-16,27-Apr-16,2,73,1:16,4118512,366445,49.7,GY,N,Y,F,F,13.5,,Successional Tuliptree - Loblolly Pine Forest,Lowland or submontane cold-deciduous forest,Liriodendron tulipifera Forest Alliance,Tuliptree Forest Alliance,Liriodendron tulipifera - Pinus taeda Forest,VA695,120798,"Craven-Uchee complex, 6 to 10 percent slopes",fine sandy loam,clay,marine deposits,moderately well drained,D,No,1,246.6985653,673.4549,18.31356618
11C,545,2016,SCTR-27-APR-2016-03,28-Apr-16,27-Apr-16,2,80,1:29,4118542,366456,41.3,DY,N,N,SNBA,S,-,,Successional Tuliptree - Loblolly Pine Forest,Lowland or submontane cold-deciduous forest,Liriodendron tulipifera Forest Alliance,Tuliptree Forest Alliance,Liriodendron tulipifera - Pinus taeda Forest,VA695,120798,"Craven-Uchee complex, 6 to 10 percent slopes",fine sandy loam,clay,marine deposits,moderately well drained,D,No,2,270.1817431,659.7769368,27.78683906
11C,900,2016,SCTR-11-JUL-2016-01,11-Jul-16,11-Jul-16,9,2,-,4119552,364757,44.3,GY,N,N,SNBA,NBA,-,,Mesic Mixed Hardwood Forest,Lowland or submontane cold-deciduous forest,Fagus grandifolia - Quercus rubra - Quercus alba Forest Alliance,American Beech - Northern Red Oak - White Oak Forest Alliance,"Fagus grandifolia - Quercus (alba, rubra) - Liriodendron tulipifera / (Ilex opaca var. opaca) / Polystichum acrostichoides Forest",VA695,120798,"Craven-Uchee complex, 6 to 10 percent slopes",fine sandy loam,clay,marine deposits,moderately well drained,D,No,3,223.8246763,18.44539179,28.79303005
11C,901,2016,SCTR-11-JUL-2016-01,11-Jul-16,11-Jul-16,9,3,-,4119538,364752,43,G,N,N,SNBA,S,-,,Mesic Mixed Hardwood Forest,Lowland or submontane cold-deciduous forest,Fagus grandifolia - Quercus rubra - Quercus alba Forest Alliance,American Beech - Northern Red Oak - White Oak Forest Alliance,"Fagus grandifolia - Quercus (alba, rubra) - Liriodendron tulipifera / (Ilex opaca var. opaca) / Polystichum acrostichoides Forest",VA695,120798,"Craven-Uchee complex, 6 to 10 percent slopes",fine sandy loam,clay,marine deposits,moderately well drained,D,No,4,209.0077667,28.77471326,17.41500364
11C,817,2016,SCTR-23-MAY-2016-01,23-May-16,23-May-16,6,12,32,4120097,365094,43.1,DY,N,N,SNBA,S,-,,Successional Tuliptree - Loblolly Pine Forest,Lowland or submontane cold-deciduous forest,Liriodendron tulipifera Forest Alliance,Tuliptree Forest Alliance,Liriodendron tulipifera - Pinus taeda Forest,VA695,120798,"Craven-Uchee complex, 6 to 10 percent slopes",fine sandy loam,clay,marine deposits,moderately well drained,D,No,5,199.7875086,104.2952622,4.169186215
11C,822,2016,SCTR-23-MAY-2016-01,23-May-16,23-May-16,6,17,38,4120109,365098,36.2,G,N,N,SNBA,S,-,,Successional Tuliptree - Loblolly Pine Forest,Lowland or submontane cold-deciduous forest,Liriodendron tulipifera Forest Alliance,Tuliptree Forest Alliance,Liriodendron tulipifera - Pinus taeda Forest,VA695,120798,"Craven-Uchee complex, 6 to 10 percent slopes",fine sandy loam,clay,marine deposits,moderately well drained,D,No,6,205.7789754,91.69809935,2.825875694
11C,534,2016,SCTR-27-APR-2016-03,28-Apr-16,27-Apr-16,2,69,1:13,4118516,366429,50.5,Y,Y,N,M,M,-,,Successional Tuliptree - Loblolly Pine Forest,Lowland or submontane cold-deciduous forest,Liriodendron tulipifera Forest Alliance,Tuliptree Forest Alliance,Liriodendron tulipifera - Pinus taeda Forest,VA695,120798,"Craven-Uchee complex, 6 to 10 percent slopes",fine sandy loam,clay,marine deposits,moderately well drained,D,No,7,234.0579012,659.6332908,4.792627087
11C,820,2016,SCTR-23-MAY-2016-01,23-May-16,23-May-16,6,15,35,4120087,365088,39.1,GY,N,N,SNBA,S,-,,Successional Tuliptree - Loblolly Pine Forest,Lowland or submontane cold-deciduous forest,Liriodendron tulipifera Forest Alliance,Tuliptree Forest Alliance,Liriodendron tulipifera - Pinus taeda Forest,VA695,120798,"Craven-Uchee complex, 6 to 10 percent slopes",fine sandy loam,clay,marine deposits,moderately well drained,D,No,8,192.6261291,115.8556268,4.5938
11C,544,2016,SCTR-27-APR-2016-03,28-Apr-16,27-Apr-16,2,79,1:28,4118546,366441,45,Y,Y,N,M,M,-,,Successional Tuliptree - Loblolly Pine Forest,Lowland or submontane cold-deciduous forest,Liriodendron tulipifera Forest Alliance,Tuliptree Forest Alliance,Liriodendron tulipifera - Pinus taeda Forest,VA695,120798,"Craven-Uchee complex, 6 to 10 percent slopes",fine sandy loam,clay,marine deposits,moderately well drained,D,No,9,259.3229864,646.2837197,12.49909578
11C,546,2016,SCTR-27-APR-2016-03,28-Apr-16,27-Apr-16,2,81,1:30,4118532,366466,43.6,G,N,N,SNBA,S,-,,Successional Tuliptree - Loblolly Pine Forest,Lowland or submontane cold-deciduous forest,Liriodendron tulipifera Forest Alliance,Tuliptree Forest Alliance,Liriodendron tulipifera - Pinus taeda Forest,VA695,120798,"Craven-Uchee complex, 6 to 10 percent slopes",fine sandy loam,clay,marine deposits,moderately well drained,D,No,10,274.2994485,673.9178335,41.07135121
11C,547,2016,SCTR-27-APR-2016-03,28-Apr-16,27-Apr-16,2,82,1:32,4118540,366460,48.4,G,N,N,SNBA,NBA,-,,Successional Tuliptree - Loblolly Pine Forest,Lowland or submontane cold-deciduous forest,Liriodendron tulipifera Forest Alliance,Tuliptree Forest Alliance,Liriodendron tulipifera - Pinus taeda Forest,VA695,120798,"Craven-Uchee complex, 6 to 10 percent slopes",fine sandy loam,clay,marine deposits,moderately well drained,D,No,11,272.7037044,664.0395036,32.25718483
11C,548,2016,SCTR-27-APR-2016-03,28-Apr-16,27-Apr-16,2,83,1:34,4118559,366457,42.6,GY,N,N,SNBA,S,-,,Successional Tuliptree - Loblolly Pine Forest,Lowland or submontane cold-deciduous forest,Liriodendron tulipifera Forest Alliance,Tuliptree Forest Alliance,Liriodendron tulipifera - Pinus taeda Forest,VA695,120798,"Craven-Uchee complex, 6 to 10 percent slopes",fine sandy loam,clay,marine deposits,moderately well drained,D,No,12,279.7921455,648.7623373,21.7008158
11C,555,2016,SCTR-27-APR-2016-03,28-Apr-16,27-Apr-16,2,90,1:42,4118559,366467,39.8,GY,N,N,SNBA,S,-,,Successional Tuliptree - Loblolly Pine Forest,Lowland or submontane cold-deciduous forest,Liriodendron tulipifera Forest Alliance,Tuliptree Forest Alliance,Liriodendron tulipifera - Pinus taeda Forest,VA695,120798,"Craven-Uchee complex, 6 to 10 percent slopes",fine sandy loam,clay,marine deposits,moderately well drained,D,No,13,288.2835263,656.1000002,31.3777215
11C,558,2016,SCTR-27-APR-2016-03,28-Apr-16,27-Apr-16,2,93,1:47,4118586,366479,37.5,G,N,N,SNBA,S,9,,Successional Tuliptree - Loblolly Pine Forest,Lowland or submontane cold-deciduous forest,Liriodendron tulipifera Forest Alliance,Tuliptree Forest Alliance,Liriodendron tulipifera - Pinus taeda Forest,VA695,120798,"Craven-Uchee complex, 6 to 10 percent slopes",fine sandy loam,clay,marine deposits,moderately well drained,D,No,14,313.0404679,647.3131223,44.45100986
11C,814,2016,SCTR-23-MAY-2016-01,23-May-16,23-May-16,6,9,24,4120049,365145,36.9,GY,N,N,SNBA,S,-,,Cultural Meadow,Medium-tall sod temperate or subpolar grassland,Dactylis glomerata - Rumex acetosella Herbaceous Alliance,Orchard Grass - Common Sheep Sorrel Herbaceous Alliance,Dactylis glomerata - Phleum pratense - Festuca spp. - Solidago spp. Herbaceous Vegetation,VA695,120798,"Craven-Uchee complex, 6 to 10 percent slopes",fine sandy loam,clay,marine deposits,moderately well drained,D,No,15,249.4827585,58.42286874,0
11C,556,2016,SCTR-27-APR-2016-03,28-Apr-16,27-Apr-16,2,91,1:45,4118576,366473,54.7,GY,N,Y,F,F,-,,Successional Tuliptree - Loblolly Pine Forest,Lowland or submontane cold-deciduous forest,Liriodendron tulipifera Forest Alliance,Tuliptree Forest Alliance,Liriodendron tulipifera - Pinus taeda Forest,VA695,120798,"Craven-Uchee complex, 6 to 10 percent slopes",fine sandy loam,clay,marine deposits,moderately well drained,D,No,16,302.4731102,649.2507176,37.51569688
11C,899,2016,SCTR-11-JUL-2016-01,11-Jul-16,11-Jul-16,9,1,-,4119547,364760,44,Y,Y,N,M,M,-,Missed 3,Mesic Mixed Hardwood Forest,Lowland or submontane cold-deciduous forest,Fagus grandifolia - Quercus rubra - Quercus alba Forest Alliance,American Beech - Northern Red Oak - White Oak Forest Alliance,"Fagus grandifolia - Quercus (alba, rubra) - Liriodendron tulipifera / (Ilex opaca var. opaca) / Polystichum acrostichoides Forest",VA695,120798,"Craven-Uchee complex, 6 to 10 percent slopes",fine sandy loam,clay,marine deposits,moderately well drained,D,No,17,220.5515326,24.25916963,23.17001898
11C,551,2016,SCTR-27-APR-2016-03,28-Apr-16,27-Apr-16,2,86,1:35,4118575,366463,37.7,G,N,N,SNBA,S,-,,Successional Tuliptree - Loblolly Pine Forest,Lowland or submontane cold-deciduous forest,Liriodendron tulipifera Forest Alliance,Tuliptree Forest Alliance,Liriodendron tulipifera - Pinus taeda Forest,VA695,120798,"Craven-Uchee complex, 6 to 10 percent slopes",fine sandy loam,clay,marine deposits,moderately well drained,D,No,18,293.6204892,642.4059109,27.46587265
11C,552,2016,SCTR-27-APR-2016-03,28-Apr-16,27-Apr-16,2,87,1:36,4118575,366463,46.4,G,N,N,SNBA,NBA,11,,Successional Tuliptree - Loblolly Pine Forest,Lowland or submontane cold-deciduous forest,Liriodendron tulipifera Forest Alliance,Tuliptree Forest Alliance,Liriodendron tulipifera - Pinus taeda Forest,VA695,120798,"Craven-Uchee complex, 6 to 10 percent slopes",fine sandy loam,clay,marine deposits,moderately well drained,D,No,19,293.6204892,642.4059109,27.46587265
11C,334,2016,SCTR-22-APR-2016-01,22-Apr-16,22-Apr-16,1,2,2032,4118468,364989,42.5,Y,N,N,SNBA,S,-,,Successional Tuliptree - Loblolly Pine Forest,Lowland or submontane cold-deciduous forest,Liriodendron tulipifera Forest Alliance,Tuliptree Forest Alliance,Liriodendron tulipifera - Pinus taeda Forest,VA695,120798,"Craven-Uchee complex, 6 to 10 percent slopes",fine sandy loam,clay,marine deposits,moderately well drained,D,No,20,660.7656961,66.62329926,229.7077697
11C,553,2016,SCTR-27-APR-2016-03,28-Apr-16,27-Apr-16,2,88,1:37,4118575,366463,52.2,GY,N,Y,F,F,15.5,,Successional Tuliptree - Loblolly Pine Forest,Lowland or submontane cold-deciduous forest,Liriodendron tulipifera Forest Alliance,Tuliptree Forest Alliance,Liriodendron tulipifera - Pinus taeda Forest,VA695,120798,"Craven-Uchee complex, 6 to 10 percent slopes",fine sandy loam,clay,marine deposits,moderately well drained,D,No,21,293.6204892,642.4059109,27.46587265
11C,949,2016,SCTR-20-JUL-2016-01,20-Jul-16,20-Jul-16,10,4,-,4119838,364343,45.3,G,N,N,SNBA,NBA,-,,Successional Tuliptree - Loblolly Pine Forest,Lowland or submontane cold-deciduous forest,Liriodendron tulipifera Forest Alliance,Tuliptree Forest Alliance,Liriodendron tulipifera - Pinus taeda Forest,VA695,120798,"Craven-Uchee complex, 6 to 10 percent slopes",fine sandy loam,clay,marine deposits,moderately well drained,D,No,22,235.3341919,45.73439328,69.27447725
11C,543,2016,SCTR-27-APR-2016-03,28-Apr-16,27-Apr-16,2,78,1:26,4118518,366451,36.8,GY,N,Y,F,F,13.5,,Successional Tuliptree - Loblolly Pine Forest,Lowland or submontane cold-deciduous forest,Liriodendron tulipifera Forest Alliance,Tuliptree Forest Alliance,Liriodendron tulipifera - Pinus taeda Forest,VA695,120798,"Craven-Uchee complex, 6 to 10 percent slopes",fine sandy loam,clay,marine deposits,moderately well drained,D,No,23,254.6749102,673.2542509,26.05899373
11C,127,2016,SCTR-12-Apr-2016-01,4/12/16,,0,30,2226,4120484,365692,23,G,N,DC,NA,NA,-,,Successional Tuliptree - Loblolly Pine Forest,Lowland or submontane cold-deciduous forest,Liriodendron tulipifera Forest Alliance,Tuliptree Forest Alliance,Liriodendron tulipifera - Pinus taeda Forest,VA695,120798,"Craven-Uchee complex, 6 to 10 percent slopes",fine sandy loam,clay,marine deposits,moderately well drained,D,No,24,80.92383865,249.1501019,38.46631416
11C,557,2016,SCTR-27-APR-2016-03,28-Apr-16,27-Apr-16,2,92,1:45,4118576,366473,41.3,GY,N,N,SNBA,S,-,,Successional Tuliptree - Loblolly Pine Forest,Lowland or submontane cold-deciduous forest,Liriodendron tulipifera Forest Alliance,Tuliptree Forest Alliance,Liriodendron tulipifera - Pinus taeda Forest,VA695,120798,"Craven-Uchee complex, 6 to 10 percent slopes",fine sandy loam,clay,marine deposits,moderately well drained,D,No,25,302.4731102,649.2507176,37.51569688
11C,542,2016,SCTR-27-APR-2016-03,28-Apr-16,27-Apr-16,2,77,1:25,4118509,366461,35.3,G,N,N,SNBA,S,-,,Successional Tuliptree - Loblolly Pine Forest,Lowland or submontane cold-deciduous forest,Liriodendron tulipifera Forest Alliance,Tuliptree Forest Alliance,Liriodendron tulipifera - Pinus taeda Forest,VA695,120798,"Craven-Uchee complex, 6 to 10 percent slopes",fine sandy loam,clay,marine deposits,moderately well drained,D,No,26,260.1549762,686.675634,32.191182
11C,549,2016,SCTR-27-APR-2016-03,28-Apr-16,27-Apr-16,2,84,1:35,4118540,366456,33.8,G,N,N,SNBA,S,-,,Successional Tuliptree - Loblolly Pine Forest,Lowland or submontane cold-deciduous forest,Liriodendron tulipifera Forest Alliance,Tuliptree Forest Alliance,Liriodendron tulipifera - Pinus taeda Forest,VA695,120798,"Craven-Uchee complex, 6 to 10 percent slopes",fine sandy loam,clay,marine deposits,moderately well drained,D,No,27,269.2021978,661.1736582,28.63029814
11C,550,2016,SCTR-27-APR-2016-03,28-Apr-16,27-Apr-16,2,85,1:35,4118575,366463,38,GY,N,N,SNBA,S,-,,Successional Tuliptree - Loblolly Pine Forest,Lowland or submontane cold-deciduous forest,Liriodendron tulipifera Forest Alliance,Tuliptree Forest Alliance,Liriodendron tulipifera - Pinus taeda Forest,VA695,120798,"Craven-Uchee complex, 6 to 10 percent slopes",fine sandy loam,clay,marine deposits,moderately well drained,D,No,28,293.6204892,642.4059109,27.46587265
11C,554,2016,SCTR-27-APR-2016-03,28-Apr-16,27-Apr-16,2,89,1:40,4118559,366467,40.8,G,N,N,SNBA,S,-,,Successional Tuliptree - Loblolly Pine Forest,Lowland or submontane cold-deciduous forest,Liriodendron tulipifera Forest Alliance,Tuliptree Forest Alliance,Liriodendron tulipifera - Pinus taeda Forest,VA695,120798,"Craven-Uchee complex, 6 to 10 percent slopes",fine sandy loam,clay,marine deposits,moderately well drained,D,No,29,288.2835263,656.1000002,31.3777215
15D,807,2016,SCTR-23-MAY-2016-01,23-May-16,23-May-16,6,2,8,4119900,365253,36.4,GY,N,N,SNBA,S,-,,Mesic Mixed Hardwood Forest,Lowland or submontane cold-deciduous forest,Fagus grandifolia - Quercus rubra - Quercus alba Forest Alliance,American Beech - Northern Red Oak - White Oak Forest Alliance,"Fagus grandifolia - Quercus (alba, rubra) - Liriodendron tulipifera / (Ilex opaca var. opaca) / Polystichum acrostichoides Forest",VA695,120803,"Emporia complex, 10 to 15 percent slopes",fine sandy loam,loam,marine deposits,well drained,B,No,30,394.4900491,18.61206543,6.451644348
15D,808,2016,SCTR-23-MAY-2016-01,23-May-16,23-May-16,6,3,8,4119910,365256,44.5,GY,N,N,SNBA,NBA,-,,Mesic Mixed Hardwood Forest,Lowland or submontane cold-deciduous forest,Fagus grandifolia - Quercus rubra - Quercus alba Forest Alliance,American Beech - Northern Red Oak - White Oak Forest Alliance,"Fagus grandifolia - Quercus (alba, rubra) - Liriodendron tulipifera / (Ilex opaca var. opaca) / Polystichum acrostichoides Forest",VA695,120803,"Emporia complex, 10 to 15 percent slopes",fine sandy loam,loam,marine deposits,well drained,B,No,31,393.0701209,12.59974749,11.64771097
15D,812,2016,SCTR-23-MAY-2016-01,23-May-16,23-May-16,6,7,14,4119919,365243,35.6,G,N,N,SNBA,S,-,,Mesic Mixed Hardwood Forest,Lowland or submontane cold-deciduous forest,Fagus grandifolia - Quercus rubra - Quercus alba Forest Alliance,American Beech - Northern Red Oak - White Oak Forest Alliance,"Fagus grandifolia - Quercus (alba, rubra) - Liriodendron tulipifera / (Ilex opaca var. opaca) / Polystichum acrostichoides Forest",VA695,120803,"Emporia complex, 10 to 15 percent slopes",fine sandy loam,loam,marine deposits,well drained,B,No,32,377.5549404,20.30654722,1.0651826
15D,813,2016,SCTR-23-MAY-2016-01,23-May-16,23-May-16,6,8,14,4119919,365243,32.9,G,N,N,SNBA,S,-,,Mesic Mixed Hardwood Forest,Lowland or submontane cold-deciduous forest,Fagus grandifolia - Quercus rubra - Quercus alba Forest Alliance,American Beech - Northern Red Oak - White Oak Forest Alliance,"Fagus grandifolia - Quercus (alba, rubra) - Liriodendron tulipifera / (Ilex opaca var. opaca) / Polystichum acrostichoides Forest",VA695,120803,"Emporia complex, 10 to 15 percent slopes",fine sandy loam,loam,marine deposits,well drained,B,No,33,377.5549404,20.30654722,1.0651826
15D,810,2016,SCTR-23-MAY-2016-01,23-May-16,23-May-16,6,5,9,4119929,365241,42,GY,N,N,SNBA,S,8,,Mesic Mixed Hardwood Forest,Lowland or submontane cold-deciduous forest,Fagus grandifolia - Quercus rubra - Quercus alba Forest Alliance,American Beech - Northern Red Oak - White Oak Forest Alliance,"Fagus grandifolia - Quercus (alba, rubra) - Liriodendron tulipifera / (Ilex opaca var. opaca) / Polystichum acrostichoides Forest",VA695,120803,"Emporia complex, 10 to 15 percent slopes",fine sandy loam,loam,marine deposits,well drained,B,No,34,371.8554438,17.3221366,4.69397345
15D,811,2016,SCTR-23-MAY-2016-01,23-May-16,23-May-16,6,6,13,4119909,365238,35.4,G,N,N,SNBA,S,-,,Cultural Meadow,Medium-tall sod temperate or subpolar grassland,Dactylis glomerata - Rumex acetosella Herbaceous Alliance,Orchard Grass - Common Sheep Sorrel Herbaceous Alliance,Dactylis glomerata - Phleum pratense - Festuca spp. - Solidago spp. Herbaceous Vegetation,VA695,120803,"Emporia complex, 10 to 15 percent slopes",fine sandy loam,loam,marine deposits,well drained,B,No,35,377.0845321,29.5244084,0
15D,806,2016,SCTR-23-MAY-2016-01,23-May-16,23-May-16,6,1,6,4119914,365265,46.4,DY,N,N,SNBA,NBA,-,Foggy,Mesic Mixed Hardwood Forest,Lowland or submontane cold-deciduous forest,Fagus grandifolia - Quercus rubra - Quercus alba Forest Alliance,American Beech - Northern Red Oak - White Oak Forest Alliance,"Fagus grandifolia - Quercus (alba, rubra) - Liriodendron tulipifera / (Ilex opaca var. opaca) / Polystichum acrostichoides Forest",VA695,120803,"Emporia complex, 10 to 15 percent slopes",fine sandy loam,loam,marine deposits,well drained,B,No,36,399.7631247,2.79668674,21.15732403
15D,809,2016,SCTR-23-MAY-2016-01,23-May-16,23-May-16,6,4,9,4119919,365258,31.4,GY,N,N,SNBA,S,-,,Mesic Mixed Hardwood Forest,Lowland or submontane cold-deciduous forest,Fagus grandifolia - Quercus rubra - Quercus alba Forest Alliance,American Beech - Northern Red Oak - White Oak Forest Alliance,"Fagus grandifolia - Quercus (alba, rubra) - Liriodendron tulipifera / (Ilex opaca var. opaca) / Polystichum acrostichoides Forest",VA695,120803,"Emporia complex, 10 to 15 percent slopes",fine sandy loam,loam,marine deposits,well drained,B,No,37,391.3784532,7.186792766,15.01311772
16,510,2016,SCTR-27-APR-2016-02,28-Apr-16,27-Apr-16,2,45,0:33,4118352,366268,49,GY,N,Y,F,F,-,,Successional Tuliptree - Loblolly Pine Forest,Lowland or submontane cold-deciduous forest,Liriodendron tulipifera Forest Alliance,Tuliptree Forest Alliance,Liriodendron tulipifera - Pinus taeda Forest,VA695,120806,Izagora loam,fine sandy loam,clay loam,alluvium,moderately well drained,C,No,38,73.92448166,630.7231814,35.90880161
16,508,2016,SCTR-27-APR-2016-02,28-Apr-16,27-Apr-16,2,43,0:30,4118355,366275,45.8,G,N,N,SNBA,NBA,-,,Successional Tuliptree - Loblolly Pine Forest,Lowland or submontane cold-deciduous forest,Liriodendron tulipifera Forest Alliance,Tuliptree Forest Alliance,Liriodendron tulipifera - Pinus taeda Forest,VA695,120806,Izagora loam,fine sandy loam,clay loam,alluvium,moderately well drained,C,No,39,76.42389237,638.2555556,34.62745276
23,479,2016,SCTR-27-APR-2016-01,27-Apr-16,27-Apr-16,2,14,23:33,4118394,365872,43.5,G,N,N,SNBA,S,-,,Successional Tuliptree - Loblolly Pine Forest,Lowland or submontane cold-deciduous forest,Liriodendron tulipifera Forest Alliance,Tuliptree Forest Alliance,Liriodendron tulipifera - Pinus taeda Forest,VA695,120814,Newflat silt loam,silt loam,clay,alluvium,somewhat poorly drained,D,No ,40,140.9132207,397.7748532,59.50213379
23,492,2016,SCTR-27-APR-2016-01,28-Apr-16,27-Apr-16,2,27,24:00:00,4118411,366047,49.9,GY,N,Y,F,F,-,,Successional Tuliptree - Loblolly Pine Forest,Lowland or submontane cold-deciduous forest,Liriodendron tulipifera Forest Alliance,Tuliptree Forest Alliance,Liriodendron tulipifera - Pinus taeda Forest,VA695,120814,Newflat silt loam,silt loam,clay,alluvium,somewhat poorly drained,D,No ,41,173.9427259,502.1824719,5.555970925
23,493,2016,SCTR-27-APR-2016-01,28-Apr-16,27-Apr-16,2,28,0:01,4118396,366048,50.3,GY,N,Y,F,F,14.2,,Successional Tuliptree - Loblolly Pine Forest,Lowland or submontane cold-deciduous forest,Liriodendron tulipifera Forest Alliance,Tuliptree Forest Alliance,Liriodendron tulipifera - Pinus taeda Forest,VA695,120814,Newflat silt loam,silt loam,clay,alluvium,somewhat poorly drained,D,No ,42,173.4156872,491.2443175,19.8706486
23,488,2016,SCTR-27-APR-2016-01,27-Apr-16,27-Apr-16,2,23,23:50,4118420,365995,56.2,DY,N,Y,F,F,22,,Successional Tuliptree - Loblolly Pine Forest,Lowland or submontane cold-deciduous forest,Liriodendron tulipifera Forest Alliance,Tuliptree Forest Alliance,Liriodendron tulipifera - Pinus taeda Forest,VA695,120814,Newflat silt loam,silt loam,clay,alluvium,somewhat poorly drained,D,No ,43,226.209727,478.7514567,24.69270237
23,489,2016,SCTR-27-APR-2016-01,27-Apr-16,27-Apr-16,2,24,23:54,4118412,366035,48.5,GY,N,N,SNBA,NBA,-,,Successional Tuliptree - Loblolly Pine Forest,Lowland or submontane cold-deciduous forest,Liriodendron tulipifera Forest Alliance,Tuliptree Forest Alliance,Liriodendron tulipifera - Pinus taeda Forest,VA695,120814,Newflat silt loam,silt loam,clay,alluvium,somewhat poorly drained,D,No ,44,185.9577666,495.5237848,10.26539901
23,477,2016,SCTR-27-APR-2016-01,27-Apr-16,27-Apr-16,2,12,23:30,4118392,365852,45.8,DY,N,N,SNBA,NBA,10,,Successional Tuliptree - Loblolly Pine Forest,Lowland or submontane cold-deciduous forest,Liriodendron tulipifera Forest Alliance,Tuliptree Forest Alliance,Liriodendron tulipifera - Pinus taeda Forest,VA695,120814,Newflat silt loam,silt loam,clay,alluvium,somewhat poorly drained,D,No ,45,126.3156153,388.1670622,59.83266525
23,490,2016,SCTR-27-APR-2016-01,27-Apr-16,27-Apr-16,2,25,23:55,4118396,366040,40.7,GY,N,N,SNBA,S,-,,Successional Tuliptree - Loblolly Pine Forest,Lowland or submontane cold-deciduous forest,Liriodendron tulipifera Forest Alliance,Tuliptree Forest Alliance,Liriodendron tulipifera - Pinus taeda Forest,VA695,120814,Newflat silt loam,silt loam,clay,alluvium,somewhat poorly drained,D,No ,46,181.395722,486.1299665,21.97166126
23,482,2016,SCTR-27-APR-2016-01,27-Apr-16,27-Apr-16,2,17,23:55,4118404,365854,59.9,DY,N,Y,F,F,22,,Successional Tuliptree - Loblolly Pine Forest,Lowland or submontane cold-deciduous forest,Liriodendron tulipifera Forest Alliance,Tuliptree Forest Alliance,Liriodendron tulipifera - Pinus taeda Forest,VA695,120814,Newflat silt loam,silt loam,clay,alluvium,somewhat poorly drained,D,No ,47,120.441016,400.0709895,47.97657393
23,478,2016,SCTR-27-APR-2016-01,27-Apr-16,27-Apr-16,2,13,23:31,4118433,365879,45.4,Y,Y,N,M,M,-,,Successional Tuliptree - Loblolly Pine Forest,Lowland or submontane cold-deciduous forest,Liriodendron tulipifera Forest Alliance,Tuliptree Forest Alliance,Liriodendron tulipifera - Pinus taeda Forest,VA695,120814,Newflat silt loam,silt loam,clay,alluvium,somewhat poorly drained,D,No ,48,129.4857573,436.334249,26.45300975
23,473,2016,SCTR-27-APR-2016-01,27-Apr-16,27-Apr-16,2,8,-,4118386,365851,41.5,G,N,N,SNBA,S,-,,Successional Tuliptree - Loblolly Pine Forest,Lowland or submontane cold-deciduous forest,Liriodendron tulipifera Forest Alliance,Tuliptree Forest Alliance,Liriodendron tulipifera - Pinus taeda Forest,VA695,120814,Newflat silt loam,silt loam,clay,alluvium,somewhat poorly drained,D,No ,49,129.5819138,382.2212762,65.76071091
23,462,2016,SCTR-22-APR-2016-04,23-Apr-16,22-Apr-16,1,130,49,4118407,365817,52.9,Y,Y,N,M,M,-,,Successional Tuliptree - Loblolly Pine Forest,Lowland or submontane cold-deciduous forest,Liriodendron tulipifera Forest Alliance,Tuliptree Forest Alliance,Liriodendron tulipifera - Pinus taeda Forest,VA695,120814,Newflat silt loam,silt loam,clay,alluvium,somewhat poorly drained,D,No ,50,90.74039184,391.1194207,52.42683448
23,463,2016,SCTR-22-APR-2016-04,23-Apr-16,22-Apr-16,1,131,50,4118399,365818,47.1,DY,N,Y,F,F,-,,Successional Tuliptree - Loblolly Pine Forest,Lowland or submontane cold-deciduous forest,Liriodendron tulipifera Forest Alliance,Tuliptree Forest Alliance,Liriodendron tulipifera - Pinus taeda Forest,VA695,120814,Newflat silt loam,silt loam,clay,alluvium,somewhat poorly drained,D,No ,51,97.46944133,383.7160437,58.90784136
23,532,2016,SCTR-27-APR-2016-03,28-Apr-16,27-Apr-16,2,67,1:07,4118437,366389,46.2,Y,Y,N,M,M,-,,Successional Tuliptree - Loblolly Pine Forest,Lowland or submontane cold-deciduous forest,Liriodendron tulipifera Forest Alliance,Tuliptree Forest Alliance,Liriodendron tulipifera - Pinus taeda Forest,VA695,120814,Newflat silt loam,silt loam,clay,alluvium,somewhat poorly drained,D,No ,52,170.4536693,695.7916486,4.569738213
