MUSYM,Index,Year,Sheet_ID,Date,Date_survey_started,Survey,No,Time,Y,X,SVL_mm,Color,Nuptial_Pads,gravid,Sex,Adjusted_sex,Mass,COMMENTS,LOCAL_NAME,FORM_NAME,ALLIAN_SCI,ALLIAN_ENG,ASSOC_SCI,AREASYMBOL,MUKEY,Soil_description,Top_layer,Middle_layer,Parent_material,Drainage,Hydric_soil_group,Hydric_soil,lineOrig,Dist_to_breeding_pool,Dist_to_wetland,Dist_to_meadow
29B,1496,2017,SCTR-16-MAY-2017-02,17-May-17,16-May-17,3,76,2,4120162,364879,41.8,GY,N,N,SNBA,S,,,Successional Tuliptree - Loblolly Pine Forest,Lowland or submontane cold-deciduous forest,Liriodendron tulipifera Forest Alliance,Tuliptree Forest Alliance,Liriodendron tulipifera - Pinus taeda Forest,VA695,120821,"Slagle fine sandy loam, 2 to 6 percent slopes",fine sandy loam,sandy clay loam,marine deposits,moderately well drained,C,No,860,95.25296973,223.0765097,8.361405152
29B,1497,2017,SCTR-16-MAY-2017-02,17-May-17,16-May-17,3,77,4,4120150,364881,59.5,Y,Y,N,M,M,,,Cultural Meadow,Medium-tall sod temperate or subpolar grassland,Dactylis glomerata - Rumex acetosella Herbaceous Alliance,Orchard Grass - Common Sheep Sorrel Herbaceous Alliance,Dactylis glomerata - Phleum pratense - Festuca spp. - Solidago spp. Herbaceous Vegetation,VA695,120821,"Slagle fine sandy loam, 2 to 6 percent slopes",fine sandy loam,sandy clay loam,marine deposits,moderately well drained,C,No,861,83.08748809,224.9751767,0
29B,1863,2017,SCTR-18-MAY-2017-03,18-May-17,18-May-17,5,1,2102,4119511,364748,52.2,DY,Y,N,M,M,,,Cultural Meadow,Medium-tall sod temperate or subpolar grassland,Dactylis glomerata - Rumex acetosella Herbaceous Alliance,Orchard Grass - Common Sheep Sorrel Herbaceous Alliance,Dactylis glomerata - Phleum pratense - Festuca spp. - Solidago spp. Herbaceous Vegetation,VA695,120821,"Slagle fine sandy loam, 2 to 6 percent slopes",fine sandy loam,sandy clay loam,marine deposits,moderately well drained,C,No,862,182.9472084,53.91993438,0
29B,1864,2017,SCTR-18-MAY-2017-03,18-May-17,18-May-17,5,2,2103,4119531,364729,41.8,GY,N,Y,F,F,,,Mesic Mixed Hardwood Forest,Lowland or submontane cold-deciduous forest,Fagus grandifolia - Quercus rubra - Quercus alba Forest Alliance,American Beech - Northern Red Oak - White Oak Forest Alliance,"Fagus grandifolia - Quercus (alba, rubra) - Liriodendron tulipifera / (Ilex opaca var. opaca) / Polystichum acrostichoides Forest",VA695,120821,"Slagle fine sandy loam, 2 to 6 percent slopes",fine sandy loam,sandy clay loam,marine deposits,moderately well drained,C,No,863,193.9023453,35.31052678,27.26072903
29B,1501,2017,SCTR-16-MAY-2017-02,17-May-17,16-May-17,3,81,18,4120157,364809,36,GY,N,N,SNBA,S,,,Successional Tuliptree - Loblolly Pine Forest,Lowland or submontane cold-deciduous forest,Liriodendron tulipifera Forest Alliance,Tuliptree Forest Alliance,Liriodendron tulipifera - Pinus taeda Forest,VA695,120821,"Slagle fine sandy loam, 2 to 6 percent slopes",fine sandy loam,sandy clay loam,marine deposits,moderately well drained,C,No,864,124.4494316,277.8118445,28.05948478
29B,1502,2017,SCTR-16-MAY-2017-02,17-May-17,16-May-17,3,82,20,4120174,364807,59,DY,N,Y,F,F,,very egg,Successional Tuliptree - Loblolly Pine Forest,Lowland or submontane cold-deciduous forest,Liriodendron tulipifera Forest Alliance,Tuliptree Forest Alliance,Liriodendron tulipifera - Pinus taeda Forest,VA695,120821,"Slagle fine sandy loam, 2 to 6 percent slopes",fine sandy loam,sandy clay loam,marine deposits,moderately well drained,C,No,865,138.3664457,269.2816918,44.08124011
29B,1867,2017,SCTR-18-MAY-2017-03,18-May-17,18-May-17,5,5,2124,4119355,364618,52.3,Y,Y,N,M,M,,,Successional Tuliptree - Loblolly Pine Forest,Lowland or submontane cold-deciduous forest,Liriodendron tulipifera Forest Alliance,Tuliptree Forest Alliance,Liriodendron tulipifera - Pinus taeda Forest,VA695,120821,"Slagle fine sandy loam, 2 to 6 percent slopes",fine sandy loam,sandy clay loam,marine deposits,moderately well drained,C,No,866,47.52670141,211.0674706,48.34696665
29B,2235,2017,SCTR-19-MAY-2017-06,20-May-17,19-May-17,6,297,113,4120928,363700,54.3,Y,Y,N,M,M,,,Successional Tuliptree - Loblolly Pine Forest,Lowland or submontane cold-deciduous forest,Liriodendron tulipifera Forest Alliance,Tuliptree Forest Alliance,Liriodendron tulipifera - Pinus taeda Forest,VA695,120821,"Slagle fine sandy loam, 2 to 6 percent slopes",fine sandy loam,sandy clay loam,marine deposits,moderately well drained,C,No,867,176.233298,341.8426688,10.70986993
29B,2236,2017,SCTR-19-MAY-2017-06,20-May-17,19-May-17,6,298,114,4120949,363681,49.2,GY,N,Y,F,F,,,Successional Tuliptree - Loblolly Pine Forest,Lowland or submontane cold-deciduous forest,Liriodendron tulipifera Forest Alliance,Tuliptree Forest Alliance,Liriodendron tulipifera - Pinus taeda Forest,VA695,120821,"Slagle fine sandy loam, 2 to 6 percent slopes",fine sandy loam,sandy clay loam,marine deposits,moderately well drained,C,No,868,202.4693093,332.1603513,15.24194356
29B,1871,2017,SCTR-18-MAY-2017-03,18-May-17,18-May-17,5,9,2135,4119306,364587,46.3,DY,N,N,SNBA,NBA,,,Successional Tuliptree - Loblolly Pine Forest,Lowland or submontane cold-deciduous forest,Liriodendron tulipifera Forest Alliance,Tuliptree Forest Alliance,Liriodendron tulipifera - Pinus taeda Forest,VA695,120821,"Slagle fine sandy loam, 2 to 6 percent slopes",fine sandy loam,sandy clay loam,marine deposits,moderately well drained,C,No,869,88.60437756,251.5980089,35.30054133
