"i","assortativity","sigmasize","error","lowerCI","upperCI"
"F","0.0442157429812502","0.113926644255243","0.0231547396597433","0.0210610033215069","0.0673704826409935"
"M","0.0870242416223533","0.074973808748957","0.0131434881789473","0.073880753443406","0.100167729801301"
"NBA","0.139039356467953","0.167683134203341","0.037699766305156","0.101339590162797","0.176739122773109"
"S","0.0145719654089213","0.0429066806154269","0.0051660434187957","0.00940592199012559","0.019738008827717"
"By_size","0.192883146994339","0.0227741148629347","0.00131570921449381","0.191567437779845","0.194198856208832"
"By_sex","0.149730070150918","0.0161656023237581","0.00093392134285874","0.148796148808059","0.150663991493776"
